11 BC Serenity Garden;626 East 11th Street;40,727124;-73,978677;10009
110th Street Block Association;1651 Madison Avenue;40,796295;-73,947533;10029
117th Street Community Garden;172 E 117th Street;40,798976;-73,940376;10035
11th Street Community Garden;422 East 11th Street;40,729079;-73,983327;10009
2120 Mapes Avenue HDFC;2124 Mapes Avenue;40,847216;-73,885018;10460
400 Montauk Avenue Block Association. (Ismael Vega y Amigos);New Lots Avenue;
5th Street Slope Garden Club;626-27 East 5th Street;40,723433;-73,980995;10009
6/15 Green;274 15th Street;40,664706;-73,987554;11215
6BC Botanical Garden;624-628 E 6th Street;40,724036;-73,980569;10009
6th Street & Avenue B Garden;78-92 Avenue B;40,724031;-73,981986;10009
700 Decatur Street Block Association;700 Decatur Street;40,683541;-73,915121;11233
811 Family and Friends Association;809 Courtlandt Avenue;40,823065;-73,91645;10451
97th Street Block Association;33-28 97th Street;40,756409;-73,87122;11368
9th Street Community Garden & Park;703 East 9th Street;40,725211;-73,977776;10009
A. Badillo Community Rose Garden;924 Melrose Avenue;40,82513;-73,913329;10451
Abib Newborn;495 Osborn Street;40,659528;-73,906203;11212
Alberts Garden;16-18 East 2nd Street;40,725347;-73,99132;10003
All People's Church of the Apostolic Faith Community Garden;149 Tompkins Avenue;40,694344;-73,946088;11206
All Peoples Garden, Inc.;293-295 East 3rd Street;40,721396;-73,979916;10009
Amazing Garden;261-265 Columbia Street;40,683251;-74,003548;11231
Amboy St. Garden;199 Amboy Street;40,665633;-73,913605;11212
American Heart;122 Hart Street;40,693378;-73,946915;11206
Angie Lee-Gonzalez & Luis Gonzalez Garden;1768 Bryant Avenue;40,83652;-73,885069;10460
Anthony Avenue Garden;2078 Anthony Avenue;40,852889;-73,901885;10457
Atkins Gardeners;213 Atkins Avenue;40,673772;-73,878795;11208
Auxiliary Services for High Schools @ P.S. 91;198 Forsyth Street;40,72252;-73,990728;10002
Avenue B Community Garden Association;200 Avenue B;40,728307;-73,978864;10009
B.C.C.A. Mini-Park and Garden;150-14 115th Drive;40,683535;-73,792211;11434
Back To Eden;144-29 Lakewood Avenue;40,689588;-73,803594;11435
Backyard Garden;61-73 Hamilton Avenue;40,682842;-74,006259;11231
Bainbridge Avenue Garden;2974-2980 Bainbridge Avenue;40,870996;-73,884326;10458
Bathgate Garden;1836 Bathgate Avenue;40,84506;-73,898018;10457
Beach Channel High School;100-00 Beach Channel Drive;40,586066;-73,822624;11694
Bed-Stuy Farm;404 Decatur Street;40,682166;-73,927115;11233
Belmont Little Farmers;2483 Belmont Avenue;40,856921;-73,884462;10458
Berry Street Garden;301-303 Berry Street;40,713449;-73,963827;11249
Big Red Garden;436 Van Siclen Avenue;40,669128;-73,889416;11207
Black Veterans For Social Justice;22 East 119th Street;40,802263;-73,944274;10035
Brisas Del Caribe;237 E 3rd Street;40,722296;-73,982048;10009
Brook Park;494 East 141st Street;40,809829;-73,918667;10454
Brooklyn Bears/Carlton Avenue Garden;397-401 Carlton Avenue;40,685731;-73,971356;11238
Brooklyn Bears/Rockwell Place Garden;65-73 Flatbush Avenue;40,687133;-73,979674;11217
Brooklyn's Finest Garden;48 Lefferts Place;40,681526;-73,961901;11238
Bryant Hill Community Garden;899-999 Bryant Avenue;40,819878;-73,886951;10474
C.A.U.S.A. Festival Garden;790 Blake Avenue;40,668623;-73,889471;11207
C.E.S. 109 - The Angelo Sanchez Inspirational Garden;1771 Popham Avenue;40,851414;-73,918533;10453
